package,cosma_layer,sonnet_sloc,sonnet_sloc_error_free_pct_before_p5,sonnet_sloc_error_free_pct_final,haiku_sloc,haiku_sloc_error_free_pct_before_p5,haiku_sloc_error_free_pct_final
AnalysisPackage,Analysis,127,100.0,100.0,122,100.0,100.0
CalculationsPackage,Analysis,62,100.0,100.0,63,100.0,100.0
CapabilitiesPackage,Purpose,58,100.0,100.0,60,100.0,100.0
CoSMAPackage,CoSMA_Framework,94,100.0,100.0,94,100.0,100.0
CoSMAQuantitiesAndUnitsPackage,CoSMA_Framework,66,100.0,100.0,66,100.0,100.0
CoSMAViewsPackage,CoSMA_Framework,4,100.0,100.0,4,100.0,100.0
ContextPackage,Purpose,133,99.1,99.1,244,99.2,100.0
ContinentalZIDAShieldOperationModel,Root,28,100.0,100.0,28,100.0,100.0
FunctionSpecificationPackage,Functional,60,100.0,100.0,61,83.3,83.6
FunctionalRequirementsPackage,Requirements,352,100.0,100.0,252,96.3,99.6
FunctionsPackage,Functional,332,100.0,100.0,253,100.0,100.0
LogicalComponentsPackage,Logical,52,100.0,100.0,43,100.0,100.0
MissionExecutionPackage,Execution,176,100.0,100.0,191,54.7,100.0
MissionPackage,Purpose,114,100.0,100.0,132,100.0,100.0
MissionPhasesPackage,Purpose,67,100.0,100.0,89,100.0,100.0
MissionRequirementsPackage,Requirements,125,100.0,100.0,141,100.0,100.0
MissionSpecificationPackage,Purpose,37,100.0,100.0,42,100.0,100.0
OperationsPackage,Operational,60,100.0,100.0,84,100.0,100.0
ProgramPackage,Program,11,100.0,100.0,11,100.0,100.0
StakeholderNeedsPackage,Requirements,58,100.0,100.0,34,100.0,100.0
StakeholderPackage,Purpose,94,100.0,100.0,91,100.0,100.0
SystemPackage,Technical,16,100.0,100.0,14,100.0,100.0
SystemSpecificationPackage,Technical,75,92.6,92.7,66,96.9,97.0
TechnicalComponentsPackage,Technical,227,100.0,100.0,272,100.0,100.0
TechnicalIndividualsPackage,Technical,22,100.0,100.0,61,100.0,100.0
TechnicalPortsPackage,Technical,115,79.0,100.0,96,86.2,100.0
TechnicalRequirementsPackage,Requirements,425,100.0,100.0,367,98.4,100.0
